% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 9 2025, 16:06
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
61                       54000                    7.45738564448733E-7
61                       55000                    7.491837690769296E-7
61                       56000                    1.0117113447682926E-6
61                       57000                    1.7793009009515993E-6
61                       58000                    1.3184368261205907E-6
61                       59000                    8.062772104246736E-7
61                       60000                    6.682764228146504E-7
61                       61000                    7.102259084383768E-7
61                       62000                    9.736928914784589E-7
61                       63000                    1.538683197471133E-6
61                       64000                    1.1537449714692485E-6
61                       65000                    7.581207552350618E-7
61                       66000                    6.427368517314249E-7
61                       67000                    6.864643929908251E-7
61                       68000                    9.338578911883411E-7
61                       69000                    1.4255792869873647E-6
61                       70000                    1.0653434811735484E-6
61                       71000                    6.988681823186334E-7
61                       72000                    5.803609760061415E-7
61                       73000                    5.948552238195577E-7
61                       74000                    7.502956672563506E-7
61                       75000                    1.1044045835373477E-6
61                       76000                    1.0626402158578924E-6
61                       77000                    7.091057396692278E-7
61                       78000                    5.573191822348371E-7
61                       79000                    5.307581840797244E-7
61                       80000                    6.070037042412727E-7
61                       81000                    8.474327628680777E-7
61                       82000                    1.3108579170265313E-6
61                       83000                    1.1534010471368523E-6
61                       84000                    8.099026695535619E-7
61                       85000                    6.901662284029575E-7
61                       86000                    7.13339896146933E-7
