% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 10 2025, 10:00
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
60                       47000                    1.7716921826321703E-6
60                       48000                    9.098273888843642E-7
60                       49000                    6.98637179177652E-7
60                       50000                    7.715957269111039E-7
60                       51000                    1.2644225341690188E-6
60                       52000                    1.6114564101870124E-6
60                       53000                    8.616666620137385E-7
60                       54000                    6.711949619089769E-7
60                       55000                    7.469137407323375E-7
60                       56000                    1.2453517676738435E-6
60                       57000                    1.53932107593881E-6
60                       58000                    8.101013099926871E-7
60                       59000                    6.480666186561021E-7
60                       60000                    7.774117618665067E-7
60                       61000                    1.4560662857475795E-6
60                       62000                    1.0929582832199458E-6
60                       63000                    7.084694819286008E-7
60                       64000                    9.211932305800662E-7
60                       65000                    6.800296386197032E-7
60                       66000                    2.4400821174751234E-7
60                       67000                    4.208915293839267E-7
60                       68000                    2.3135398077442047E-7
60                       69000                    8.158102634964127E-8
60                       70000                    1.4226331038262136E-6
60                       71000                    1.6993758002824457E-8
60                       72000                    5.605967126369683E-7
60                       73000                    3.940951082622583E-7
60                       74000                    7.835419849621777E-7
60                       75000                    5.287342892126944E-7
60                       76000                    6.405791180076895E-7
60                       77000                    1.2967753419484753E-6
60                       78000                    1.3223571428445937E-6
60                       79000                    7.916861755262321E-7
60                       80000                    6.49897364222118E-7
60                       81000                    7.092766276636679E-7
60                       82000                    1.1739355241814815E-6
60                       83000                    1.2863528559809885E-6
60                       84000                    8.434000717561762E-7
60                       85000                    6.926796279561049E-7
60                       86000                    7.476408679204793E-7
60                       87000                    1.0946706904802536E-6
60                       88000                    1.7451900641339555E-6
60                       89000                    1.2365557361329866E-6
60                       90000                    8.789345558202425E-7
60                       91000                    8.58950984697527E-7
60                       92000                    1.1337917884114155E-6
60                       93000                    1.6622900423749582E-6
60                       94000                    1.076044567423242E-6
60                       95000                    8.510923926603881E-7
60                       96000                    1.0372060522609121E-6
60                       97000                    1.8137278962812248E-6
60                       98000                    8.878876788670034E-7
60                       99000                    1.0258802566112143E-6
60                       100000                   8.649762621793647E-7
61                       10000                    2.319675470610402E-6
61                       11000                    6.154342164942813E-7
61                       12000                    5.704107647264138E-7
61                       13000                    2.158912830524551E-6
61                       14000                    4.951571402922275E-7
61                       15000                    4.56764036238857E-7
61                       16000                    1.377455079585201E-6
61                       17000                    5.434070946482668E-7
61                       18000                    3.7785606904919917E-7
61                       19000                    6.15208832869275E-7
61                       20000                    8.279118570390906E-7
61                       21000                    3.439095359679225E-7
61                       22000                    3.2660976608385037E-7
